Category,Place_Organization,Address,The_Mission,The_Mission_FR,Why_Matters,Why_Matters_FR,Action_Item,Action_Item_FR,Mode_Of_Contact,Website_Link,Latitude,Longitude
Books & Knowledge,Black Squirrel Books & Espresso Bar,"1073 Bank St., Ottawa, ON K1S 3W9  ",A unique spot blending a large second-hand bookstore with a cozy café. Extensive collection of gently used books from classics to academic texts.,"Un endroit unique alliant une grande librairie de livres usagés et un café cosy. Vaste collection de livres d'occasion, des classiques aux textes académiques.",A perfect student hub for affordable literature. Its focus on used books directly promotes the reuse of media and knowledge.,Un hub étudiant idéal pour la littérature abordable. Son accent sur les livres usagés favorise directement la r,Grab a locally roasted coffee and study. Trade in your completed books for store credit.,Prenez un café torréfié localement et étudiez. Échangez vos livres terminés contre un crédit en magasin.,,https://www.blacksquirrelbooks.ca/,45.394769,-75.683288
Books & Knowledge,Book Bazaar,"417 Bank St., Ottawa, ON K1P 1Y7 ","Established in 1974, a massive treasure trove specializing in used, rare, and out-of-print books, including academic and history texts. ","Fondé en 1974, un immense trésor spécialisé dans les livres usagés, rares et épuisés, notamment les textes académiques et historiques.","Actively promotes the reuse of literature, ensuring books have a lifespan beyond a single owner. ","Favorise activement la réutilisation de la littérature, assurant aux livres une durée de vie au-delà d'un seul propriétaire.",Check here first for academic requirements. Trade in your read books for credit.,Vérifiez ici d'abord pour vos besoins académiques. Échangez vos livres lus contre un crédit.,,https://maps.app.goo.gl/tr8T36QZv9jMayGb8,45.412755,-75.693805
Books & Knowledge,Octopus Books,"116 Third Ave., Ottawa, ON K1S 2K1 ","An independent bookstore committed to social justice, progressive values, and diverse literature. ","Une librairie indépendante engagée envers la justice sociale, les valeurs progressistes et la littérature diversifiée.",A key community hub for activists. Shopping here supports a business dedicated to dialogue on environmental and social justice.,Un carrefour communautaire clé pour les militants. Y faire ses achats soutient une entreprise dédiée au dialogue sur la justice environnementale et sociale.,Check their schedule for events. Seek out their collection on political non-fiction and Indigenous authors.,Consultez leur calendrier d'événements. Recherchez leur collection de non-fiction politique et d'auteurs autochtones.,,https://octopusbooks.ca/,45.402834,-75.688639
Books & Knowledge,The Friends' Bookshop,"Main Library (Inside), 120 Metcalfe St., Ottawa, ON K1P 5M2 ","Run entirely by volunteers, offering used books, CDs, and DVDs at unbeatable prices. ","Géré entièrement par des bénévoles, offrant des livres usagés, CD et DVD à des prix imbattables.",The most ethical place to buy used media. All proceeds support the Ottawa Public Library's programs.,L'endroit le plus éthique pour acheter des médias usagés. Tous les profits soutiennent les programmes de la Bibliothèque publique d'Ottawa.,Visit for the lowest-cost books in the city. Support the initiative by volunteering to process donations.,Visitez pour trouver les livres les moins chers de la ville. Soutenez l'initiative en faisant du bénévolat pour traiter les dons.,,https://www.fopla-aabpo.ca/,45.420289,-75.695626
Books & Knowledge,Barely Bruised Books,"315 Wilbrod St. #2 (Upstairs), Ottawa, ON K1N 6M5 ",A cozy independent shop with a vast selection of gently used books. They offer all children's literature for free.,Une boutique indépendante et cosy avec une vaste sélection de livres d'occasion. Toute la littérature jeunesse est offerte gratuitement.,Accessible second-hand reading right in Sandy Hill. The free children's section supports local families and literacy.,Lecture d'occasion accessible dans Sandy Hill. La section gratuite pour enfants soutient les familles locales et l'alphabétisation.,Browse here before buying full price. Donate gently used children's books.,Parcourez ici avant d'acheter à plein prix. Faites don de livres pour enfants en bon état.,,https://maps.app.goo.gl/Rc8j7dzA9JHRKL5t7,45.427732,-75.680727
Books & Knowledge,Perfect Books,"258A Elgin St., Ottawa, ON K2P 1L9 ","A long-standing independent bookstore with a curated selection of new books, fostering a community-focused atmosphere. ","Une librairie indépendante de longue date proposant une sélection soignée de nouveaux livres, cultivant une atmosphère axée sur la communauté.",A vital cultural hub hosting author events and readings. Supporting this shop supports the local literary arts.,"Un pôle culturel vital accueillant des événements d'auteurs et des lectures. Soutenir cette boutique, c'est soutenir les arts littéraires locaux.",Meet local authors. Look for their section featuring Canadian authors.,Rencontrez des auteurs locaux. Recherchez leur section consacrée aux auteurs canadiens.,,https://www.perfectbooks.ca/,45.418025,-75.690675
Books & Knowledge,Single Pebble Books,"206 Main St., Ottawa, ON K1S 1C6 ","A women-owned bookstore offering books on holistic health, mindfulness, and alternative spirituality. ","Une librairie appartenant à une femme, proposant des livres sur la santé holistique, la pleine conscience et la spiritualité alternative.","A resource for personal sustainability and mental health maintenance, crucial for balancing academic life. ","Une ressource pour la durabilité personnelle et le maintien de la santé mentale, essentielle pour équilibrer la vie académique.",Browse their holistic health collection. Patronize a business that has been a community fixture since 1988.,Parcourez leur collection de santé holistique. Fréquentez une entreprise qui est un pilier de la communauté depuis 1988.,,https://www.singingpebblebooks.ca/,45.408319,-75.677825
Circular Economy,uOttawa Free Store,"25 University Private, Room 121 (in the Thompson building) (uOttawa Campus)","Everything here is free! Explore racks of donated clothing, textbooks, and housewares. This student-run space has diverted over 240,000 kg of material from landfills. ","Tout est gratuit ici ! Explorez des rangées de vêtements donnés, de manuels scolaires et d'articles ménagers. Cet espace géré par des étudiants a détourné plus de 240 000 kg de matériaux des sites d'enfouissement.",It proves that a circular economy works on campus. It reduces student financial stress while keeping usable goods out of the garbage.,Il prouve que l'économie circulaire fonctionne sur le campus. Il réduit le stress financier des étudiants tout en gardant les biens utilisables hors des ordures.,Check here for essentials before buying new. Drop off your gently used items to reduce waste.,Vérifiez ici pour les essentiels avant d'acheter neuf. Déposez vos articles gently usagés pour réduire les déchets.,,https://www.uottawa.ca/campus-life/campus-sustainability/activities-initiatives/free-store,45.423779,-75.683514
Circular Economy,Highjinx,"290 Kent St., Ottawa, ON K2P 2A4 ",Highjinx is a unique social enterprise and community hub selling donated antiques and housewares. All profits fund essential services like community meals and a furniture bank for vulnerable individuals.,Highjinx est une entreprise sociale unique vendant des antiquités et articles ménagers donnés. Tous les profits financent des services essentiels comme des repas communautaires et une banque de meubles.,"This is a model for social sustainability. By purchasing here, you participate in the circular economy while funding grassroots support for people experiencing poverty in Ottawa. ","C'est un modèle de durabilité sociale. En achetant ici, vous participez à l'économie circulaire tout en finançant le soutien aux personnes en situation de pauvreté à Ottawa.",Buy your next unique houseware item here. Support their free services by donating non-perishable food or hygiene items.,Achetez votre prochain article ménager unique ici. Soutenez leurs services gratuits en donnant des aliments non périssables ou des articles d'hygiène.,,https://www.highjinxottawa.com/,45.414861,-75.699066
Circular Economy,Bee You Creative Styles,"323 Somerset St. E, Ottawa, ON K1N 6W4","A unique consignment clothing and bookshop for all ages and styles. Owner curates a warm, welcoming space filled with pre-loved fashion, jewelry, local art, crafts, and books, all under one roof in Sandy Hill.","Une friperie et librairie de dépôt-vente unique pour tous les âges et tous les styles. La propriétaire offre un espace chaleureux rempli de vêtements, bijoux, art local, artisanat et livres, le tout sous un même toit dans Sandy Hill.",A neighbourhood gem that keeps textiles and books out of landfills while supporting local artists and makers. Consignment means every item sold extends its lifespan and reduces the demand for new production.,Un joyau de quartier qui détourne les vêtements et les livres des sites d'enfouissement tout en soutenant les artistes et artisans locaux. La vente en dépôt prolonge la vie de chaque article et réduit la demande de production neuve.,Bring in your gently used clothes to consign. Browse the local art section and pick up a handmade gift instead of buying new.,Apportez vos vêtements usagés en bon état pour les mettre en dépôt. Parcourez la section d'art local et offrez-vous un cadeau fait main plutôt que d'acheter neuf.,,https://www.beeyoucreativestyles.com/,45.424746,-75.674107
